NZHSC Code Hierarchy - NZHSC Level 2 Code,NZHSC Code Hierarchy - NZHSC Level 4 Code,NZHSC Code Hierarchy - NZHSC Level 6 Code,NZHSC Description Hierarchy - NZHSC Level 2 Description,NZHSC Description Hierarchy - NZHSC Level 4 Description,NZHSC Description Hierarchy - NZHSC Level 6 Description,Primary Industry Sector,SOPI Forecast Group,Granular Group
07,0712,071239,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; mushrooms, other than the genus Agaricus and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0712,071290,Vegetables and certain roots and tubers; edible,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","Vegetables; mixtures of vegetables n.e.c. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried",Horticulture,Other Processed Vegetables,Unknown
07,0714,071410,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",Horticulture,Other Processed Vegetables,Unknown
07,0714,071420,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",Horticulture,Other Processed Vegetables,Unknown
07,0714,071430,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",Horticulture,Other Processed Vegetables,Unknown
07,0714,071440,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",Horticulture,Other Processed Vegetables,Unknown
07,0714,071450,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",Horticulture,Other Processed Vegetables,Unknown
07,0714,071490,Vegetables and certain roots and tubers; edible,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Vegetable roots and tubers; arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form; sago p",Horticulture,Other Processed Vegetables,Unknown
20,2001,200110,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid","Vegetable preparations; cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2001,200120,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid","Vegetable preparations; onions, prepared or preserved by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2001,200190,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid","Vegetable preparations; vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)",Horticulture,Other Processed Vegetables,Unknown
20,2002,200210,"Preparations of vegetables, fruit, nuts or other parts of plants",Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,"Vegetable preparations; tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2002,200290,"Preparations of vegetables, fruit, nuts or other parts of plants",Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,"Vegetable preparations; tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2003,200310,"Preparations of vegetables, fruit, nuts or other parts of plants","Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid","Vegetable preparations; mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2003,200320,"Preparations of vegetables, fruit, nuts or other parts of plants","Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid","Vegetable preparations; truffles, prepared or preserved otherwise than by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2003,200390,"Preparations of vegetables, fruit, nuts or other parts of plants","Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid","Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",Horticulture,Other Processed Vegetables,Unknown
20,2005,200510,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200540,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200551,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200559,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200560,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200570,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
20,2005,200580,"Preparations of vegetables, fruit, nuts or other parts of plants","Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006","Vegetable preparations; sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen",Horticulture,Other Processed Vegetables,Unknown
